vi_text,label_names,confidence,labels,pseudo_labeled,source
"sự cạnh tranh dựa trên một số yếu tố, như giá cả, chất lượng sản phẩm và dịch vụ.",Irrelevant,0.999998927116394,0,True,pseudo_labeling
những thay đổi rõ rệt do lượng mưa không đều đang xuất hiện.,Evironment,0.9999984502792358,1,True,pseudo_labeling
công vấn và thực tiễn báo cáo hàng năm của công ty chấp nhận các yêu cầu từ bên quan tâm đến giá lương cao chú ý và làm theo.,Social,0.9826536774635315,2,True,pseudo_labeling
"cuối cùng, bộ quy tắc ứng xử của nhà cung hỗ trợ giải quyết vấn đề xung đột khoáng sản. tóm nhà cung cấp thường có xu hướng tập trung vào các đối tác hoạt động đầy đủ và để tỉnh giấc.",Governance,0.9999961853027344,3,True,pseudo_labeling
sơn cho biết những chính sách này được xem là nền tảng ban đầu để thiết lập hệ thống khuôn khổ esg trong hoạt động của các ngân hàng và tổ chức tín dụng theo các quy định quốc tế.,Irrelevant,0.9999990463256836,0,True,pseudo_labeling
"công ty và nó đã thành lập công ty pack hmanagement hỗ trợ quản lý phát triển đã ra mắt để đối phó với trận động đất kinh hoàng năm 2010, pack h2o là giải pháp kinh tế khả thi, tiện lợi, nhẹ, gấp lại có thể tái sử dụng và vệ sinh cho việc vận chuyển và lưu trữ nước.",Evironment,0.9999790191650391,1,True,pseudo_labeling
"sự bền vững thực sự còn bao gồm các vấn đề về đạo đức, pháp lý, xã hội, tuân thủ, rủi ro và nguồn nhân lực.",Social,0.9999947547912598,2,True,pseudo_labeling
ủy ban tuân thủ của chúng tôi hiện bao gồm các thành viên độc lập bên ngoài là nhân viên.,Governance,0.9999929666519165,3,True,pseudo_labeling
các khoản cho vay được bảo đảm bằng bất động sản thương mại và nhiều hộ gia đình thường lớn hơn và có mức độ rủi ro cao hơn các khoản vay thế chấp nhà ở dành cho một đến bốn gia đình.,Irrelevant,0.9999990463256836,0,True,pseudo_labeling
"công ty sẽ mở rộng các sản phẩm của mình sang các loại sản phẩm phi thực phẩm khác, tập trung vào các sản phẩm được làm từ các nguồn tài nguyên có thể tái tạo, có chứa nội dung tái chế hoặc sản xuất mà không sử dụng một số hoá chất gây quan ngại.",Evironment,0.9999935626983643,1,True,pseudo_labeling
"các chương trình đào tạo của starbucks được ghi nhận trong giải thưởng này bao gồm các chương trình phát triển sự nghiệp, giáo dục cà phê, đào tạo lãnh đạo và quản lý tuyến đầu.",Social,0.9999985694885254,2,True,pseudo_labeling
"từ cáo trạng miễn phí khỏi sai sót về tài liệu, dù là do gian lận hay lỗi, và do sau đó đưa ra một báo cáo kiểm toán viên bao gồm ý kiến của chúng tôi.",Governance,0.9999986886978149,3,True,pseudo_labeling
