vi_text,labels
Các sáng kiến đa dạng Là một doanh nghiệp Công nghệ bất động sản hàng đầu sự nghiệp tại Tập đoàn thông tin Landmark thấy vai trò chủ yếu trong các lĩnh vực dữ liệu và công nghệ STEM Khoa học Công nghệ Kỹ thuật và Toán học các lĩnh vực truyền thống thấy sự đại diện thấp hơn của phụ nữ cả trong ngành và trong giáo dục,2
2023 Tiếp tục là một Năm An Toàn Tuyệt Đối cho Quản Lý Thanh Khoản tại SSI mà Không Có Sự Cố Rủi Ro Phát Sinh,2
An toàn thực phẩm sẽ luôn là ưu tiên số một của chúng tôi cũng như sức khỏe và sự an toàn của khách hàng và các thành viên trong nhóm,2
Marriott đã cung cấp tài trợ linh hoạt cho UNICEF đóng góp vào việc mua sắm và vận chuyển hơn 100 quốc gia trên toàn cầu,2
SVPSTổn thất tiền tệ do các thủ tục pháp lý liên quan đến tính toàn vẹn nghề nghiệp Các thủ tục pháp lý vật chất cho công ty được công bố tại mục 3,0
Các khu rừng nguy cấp chính trên toàn cầu là rừng phương bắc Canada và Nga rừng mưa ôn đới ven biển của British Columbia Alaska và Chile rừng nhiệt đới và than bùn của Indonesia Amazon và Tây Phi,1
Ngoài ra chúng ta cũng nỗ lực phát triển một nền văn hoá công ty kiên cường và đoàn kết,2
Quá trình này không đầy đủ mơ hồ hoặc mâu thuẫn và có sự trùng lặp vì thiết kế quy trình còn hạn chế,0
"""Chúng ta đang nỗ lực phục hồi rừng thông qua việc chủ động trồng lại cây xanh, kết nối với cộng đồng địa phương và tham gia vào các dự án tái tạo rừng.""",1
Các sản phẩm được tái chế phải tuân thủ hướng dẫn nghiêm ngặt trước khi chúng có thể được vận chuyển đến cơ sở xử lý và tái sử dụng hoặc tái chế một cách thích hợp,3
Vietjet Air liên tục cải thiện chế độ đãi ngộ của người lao động để tạo ra một môi trường làm việc chuyên nghiệp lành mạnh và thân thiện thu hút các nguồn nhân lực có tay nghề cao cả ở trong lẫn ngoài nước,2
Duy trì tốt các Hệ thống Quản lý Chất lượng theo Tiêu chuẩn ISO 9001 An toàn và Sức khỏe Nghề nghiệp theo Tiêu chuẩn ISO 45001 và Bảo mật Thông tin theo Tiêu chuẩn ISOIEC 27001 được bên thứ ba đánh giá xác nhận đạt tiêu chuẩn,2
Thông qua các dự án xây dựng trường học trạm y tế thực hiện công trình tri ân tôn tạo di tích lịch sử xây dựng nhà tình nghĩa thăm hỏi và tặng quà cho học sinh vùng cao xây dựng nhà bán trú dân nuôi vv đã cải thiện đáng kể điều kiện sống làm việc và học tập của người dân cũng như trẻ em tại địa phương,2
Sau một bài tập lập bản đồ chuyên sâu về các nhà cung cấp chúng tôi đã tăng thông tin cụ thể về nhà cung cấp được sử dụng trong tính toán phát thải của chúng tôi để bao gồm trong năm 2021,1
Chiến dịch gây quỹ nhằm giúp đỡ những nhân viên đang phải đối mặt với những khó khăn tài chính,2
Tuy nhiên với trụ sở làm việc chính tại các toà nhà mà Bảo hiểm Việt Nam quản lý và sử dụng kiểm soát phát thải khí chất thải và nước từ những tòa nhà này là biện pháp bảo vệ môi trường tiếp theo sẽ được thực hiện bởi Bảo Việt,1
Nhóm lãnh đạo là những người tài năng đầy nhiệt huyết và tận tâm với công việc của họ,2
Trong quá trình thiết kế tập trung mạnh mẽ vào việc kết hợp các yếu tố xanh và bền vững như một phần của yêu cầu dành cho đơn vị tư vấn,1
Chúng ta không có ý nghĩa gì khi đặt ra các mục tiêu mà chúng ta không biết làm thế nào để đạt được hoặc đo lường và chúng ta chưa biết làm thế nào để chứng minh một cách đáng tin cậy giá trị mà chúng mang lại cho các cổ đông và các bên liên quan khác,0
