vi_text,labels
Tuy nhiên mức lương bình quân của Bảo Việt đã giảm 10 so với năm trước vào năm 2021 do sự biến động về số lượng người lao động ở lại thành phố lớn làm việc trong thời gian bùng phát dịch Covid19,2
và chúng tôi được dẫn dắt bởi hai cơ quan quan trọng Ban chỉ đạo DE I và Hội đồng DE I,0
Các tình nguyện viên của chúng tôi cảm thấy tốt về công việc họ làm vì họ có liên hệ trực tiếp với khách hàng của Dự án Just One,2
Cô được vinh dự tham gia Trại Hope của SafeNest một trại hè miễn phí kéo dài một tuần dành cho trẻ em là nạn nhân của bạo lực gia đình,2
Tái sử dụng nước Chúng ta đang tiếp tục xác định các cách để tăng tỷ lệ tái sử dụng nước trong các cơ sở sản xuất của chúng ta,1
Chúng tôi nhận thấy rằng nó thực sự thấp hơn con số này ở mức khoảng 180,0
Chúng tôi tích cực kết hợp quan điểm của các bên liên quan vào chiến lược ESG của mình,0
Đây là một loại nhiên liệu mới có hiệu suất chất lượng cao hơn loại xăng RON 95-II hiện được sử dụng trong thị trường tại cùng thời điểm.,1
Điều này cũng bao gồm tuân thủ chính sách và quy định hiện hành về sức khỏe và an toàn tại nơi làm việc,2
Tiếp tục duy trì một Trung tâm Giáo dục và COVID mạnh mẽ và cập nhật trên trang web của chúng tôi cung cấp cho khách hàng của chúng tôi một lựa chọn phong phú các thông tin thực tế từ các công cụ cho bác sĩ lâm sàng đến tài nguyên truyền thông bệnh nhân để giúp họ định hướng được nhiều vấn đề ảnh hưởng đến thực hành của họ do đại dịch gây ra,2
Tạo việc làm thúc đẩy sự phát triển của cá nhân và đóng góp vào phúc lợi của cộng đồng,2
Toà nhà ở số 71 Ngô Sĩ Liên là sự kết hợp giữa Hệ thống Thông tin Toàn diện cùng với một công ty thành viên khác của Bảo hiểm Bảo Việt về trung tâm CNTT,0
Để tìm kiếm sự đa dạng về kinh nghiệm Hội đồng làm việc để lựa chọn các ứng cử viên bao gồm một loạt các quan điểm và quan điểm,0
Tầm nhìn của chúng tôi là tạo ra sự cân bằng giữa lợi ích kinh tế và tác động xã hội cho cộng đồng,2
Hệ thống này phải đảm bảo rằng việc lập thông tin về các chỉ số được lựa chọn không có lỗi trọng yếu do gian lận hoặc nhầm lẫn,3
Bao gồm du lịch biển giải trí thám hiểm thể thao chăm sóc sức khoẻ nghỉ dưỡng và MICE du lịch kết hợp hội nghị hội thảo và triển lãm,2
Chúng tôi tin rằng văn hóa là chất keo gắn kết chiến lược với nhau,0
Nhờ sự tập trung của chúng tôi vào Accelerator chúng tôi đã khởi động rất nhiều sáng kiến mà trước đây chúng tôi đã phải vật lộn để có được trên mặt đất,0
Nhờ nhận thức này Coteccons áp dụng một cách tiếp cận mang tính cam kết cao đối với sự bền vững môi trường xã hội và quản trị ESG để phát triển lâu dài dựa trên chiến lược có tầm nhìn xa,3
Tổ chức huấn luyện an toàn vệ sinh lao động phòng ngừa tai nạn sự cố đào tạo chuyên môn kỹ thuật và thực hiện công tác bảo hộ lao động theo quy định của pháp luật,2
Chúng tôi tin rằng việc đạt được mục tiêu bền vững của chúng ta sẽ dễ dàng hơn khi tất cả các bên liên quan đặc biệt là những người nằm trong chuỗi giá trị của chúng ta cùng nhau hợp tác để tích hợp các mục tiêu môi trường vào hoạt động kinh doanh,0
Đây là lý do tại sao chúng tôi cam kết thiết lập các mục tiêu thông minh trong các lĩnh vực trọng tâm bền vững của chúng tôi các mục tiêu sẽ giúp thúc đẩy hành động trong chuỗi kinh doanh và cung ứng,0
Chúng tôi đang đánh giá các vật liệu có thể phân huỷ và tái chế và liên tục tìm cách để loại bỏ chất thải và giảm lượng khí thải carbon,1
DMGT là nhà tài trợ tự hào của Học viện Westminster trên đường Harrow nơi chúng tôi đã tài trợ cho vị trí huấn luyện viên toàn thời gian Vidal chỉ trong hơn một năm,0
Trong nghiên cứu của chúng tôi chúng tôi đã tìm thấy nhiều định nghĩa cho thuật ngữ bền vững,0
Cụ thể hoá điều này Coteccons ban hành và thực thi một cách nghiêm ngặt Bộ quy tắc Ứng xử Kinh doanh,3
Khách hàng có quyền nộp đơn tố cáo với Ban giám đốc trong trường hợp thông tin cá nhân của họ bị tiết lộ cho các tổ chức khác không được phép,3
một cuộc đối thoại liên tục trong khi bảo vệ giá trị của D I,0
"Đảm bảo độc lập có giới hạn cho báo cáo tài chính này nhằm cung cấp thông tin trung thực và hợp lý về tình hình hoạt động trong kỳ của Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va, Báo cáo tài chính năm 2021 được kiểm toán bởi PwC.",3
Mặc dù nhận thức về biến đổi khí hậu trong các doanh nghiệp vẫn còn hạn chế và không nhất quán nó có tác động đáng kể đối với việc đạt được các mục tiêu tăng trưởng xanh,0
Mọi nguồn chất thải trong nhà tắm bao gồm cả từ thiết bị vệ sinh và bếp ăn đều phải được thu gom đúng cách bằng mạng lưới đường ống dẫn đến khu chứa nước thải tập trung của chủ sở hữu dự án,1
Tìm nguồn truyền thông dmg giấy bền vững thực hiện một cách tiếp cận hợp tác để giải quyết các vấn đề môi trường liên quan đến in ấn,0
Châu Âu với tổ chức từ thiện The Prince Trust cung cấp một chương trình cố vấn cho thanh thiếu niên tuổi 30 từ các nền tảng ít được phục vụ và ít đại diện quan tâm đến những bước đầu tiên trong thiết kế sản phẩm,2
BCPTBV là một công cụ hữu hiệu giúp Công ty rà soát và đánh giá lại hiệu quả của các hoạt động phát triển bền vững được thực hiện trong năm góp phần hỗ trợ Hội Đồng Quản Trị và Ban Điều Hành kịp thời cập nhật những định hướng và chiến lược phù hợp nhất cho Công ty,3
