vi_text,labels
Với tư cách Trưởng ban Phát triển bền vững vai trò của tôi là biến phát triển bền vững thành lợi thế cạnh tranh cho Informa,3
Mạng lưới Lãnh đạo Phụ nữ của chúng tôi đã tổ chức sự kiện bên ngoài đầu tiên mời cả TSM và khách hàng của chúng tôi tham gia vào một sự kiện hội thảo có tên SHE Doanh nhân chăm sóc sức khỏe thành công,2
Ngoài việc cung cấp năng lượng cho công ty của mình VinFast cũng đang cộng tác với các nhà tư vấn về môi trường để điều tra và triển khai các phương pháp giảm phát thải carbon,1
"Năm 2023, Petrolimex dự kiến sẽ hợp tác với VinFast để lắp đặt 250 trạm sạc ô tô điện ở các trạm xăng dầu có địa điểm và không gian phù hợp.",3
CovidDMGT chuyển sang mô hình làm việc từ xa một cách liền mạch,0
Báo cáo này chưa được kiểm toán bởi bên thứ ba,3
"Hợp nhất với các trường đại học kinh doanh khác, như Đại học Kinh tế Quốc dân và ông Lê Anh Tuấn có hơn hai mươi năm kinh nghiệm tài chính ngân hàng, trong thời gian mười lăm năm làm việc cho EVN Finance (Ngân hàng Đầu tư Phát triển Việt Nam).",0
Nhà máy sản xuất ô tô đòi hỏi các nhà cung cấp mới đặc biệt là những người bán phụ tùng linh kiện và vật liệu thô sau một năm thực hiện hoạt động kinh doanh với TMV phải có chứng chỉ ISO 14001,2
Để tận dụng tốt nhất cơ hội trên thị trường bất động sản Ban Lãnh đạo Công ty ưu tiên sử dụng lợi nhuận kinh doanh để tái đầu tư vào việc phát triển các dự án mới và tích lũy quỹ đất cho chiến lược phát triển dài hạn của công ty,3
Cụ thể hơn tổng lượng khí thải nhà kính trực tiếp của công ty đã giảm 2393 so với năm trước đó đồng thời mức giảm 2368 trong việc phát thải khí nhà kính gián tiếp cũng được ghi nhận,1
Ngoài ra các biện pháp bổ sung nhằm nâng cao việc quản lý rủi ro vận hành cũng đã được Ban Quản trị khối thực hiện,3
Các thành viên Hội đồng quản trị HĐQT Ban kiểm soát BKS và ban giám đốc điều hành BGĐ sẽ được hưởng lợi từ dịch vụ hạng thương gia bao gồm vận chuyển bằng ô tô riêng đến sân bay và hỗ trợ làm việc cho các nhiệm vụ khác,3
Trung Đông Châu Phi và châu Á Thái Bình Dương thực hiện chiến lược quản lý rủi ro bảo mật và quyền riêng tư do Hội đồng Quản trị đặt ra bằng cách xác nhận rằng Marriott có các chính sách quy trình và thực tiễn hiệu quả,3
"Các hình dạng dường như không đồng nhất, với một số độ méo mó và kích thước nhỏ hơn so với những cái khác.",0
Sự hỗ trợ này cung cấp cho UNICEF nguồn tài trợ linh hoạt cần thiết để hỗ trợ công việc quan trọng của mình bao gồm mua sắm và tổ chức vận chuyển vắcxin đến 109 quốc gia và giúp đỡ hơn 130 quốc gia có thu nhập thấp và trung bình cải thiện hệ thống y tế của họ,2
Tỷ lệ tiêu thụ giấy bình quân đầu người giảm từ 378 pound vào năm 2020 xuống còn 358 pounds vào năm 2021 và 346 pound vào năm 2022,2
Tăng cường liên tục khả năng theo dõi và giám sát các mạng và điểm cuối,3
Chúng tôi tin rằng tính toàn vẹn của chuỗi cung ứng của chúng tôi dẫn đến thực phẩm ngon hơn và bổ dưỡng hơnvà chúng tôi sẽ đại diện cho khách hàng môi trường và cộng đồng mà chúng tôi phục vụ để ủng hộ điều này,2
Hiện nay chúng tôi đề nghị mức lương tối thiểu ban đầu ít nhất là 20 đô la một giờ bao gồm hoa hồng mục tiêu và sản phẩm Advanced Home WiFi của chúng tôi hiện có sẵn cho 100 hộ gia đình được cung cấp dịch vụ Internet đã qua sử dụng,2
"Từ năm 2017 đến nay, toàn bộ nước thải phát sinh đều được Tập đoàn thu gom và xử lý phù hợp với các yêu cầu của pháp luật về bảo vệ môi trường trước khi xả vào nguồn tiếp nhận.",1
"Điều này cho thấy rằng các tiêu chuẩn và giá trị chung trong ngành đang được cải thiện, chính xác như mục tiêu mà chúng ta hướng tới.",0
Khi tham gia vào các giao dịch tài chính vi mô bao gồm sản xuất buôn bán lưu trữ hoặc vận chuyển một số lượng đáng kể hóa chất nguy hiểm hoặc sử dụng chúng với mục đích thương mại,3
Nhóm nhân viên tư vấn có tay nghề cao của chúng tôi những người chuyên nghiệp được đào tạo kỹ lưỡng về sản phẩm dịch vụ và các chương trình bảo hành để cung cấp cho khách hàng trải nghiệm tốt nhất có thể,2
Dữ liệu quan trọng và thiết bị cần thiết phải được cung cấp như là một phần của kế hoạch hành động dựa trên mục tiêu Đảm bảo tuân thủ quy định pháp luật trong mọi tình huống liên quan đến rủi ro bao gồm các trường hợp sau đây i mất tài liệu ii cơ sở hạ tầng công nghệ thông tin bị sự cố,3
Chúng tôi không thay đổi những gì đã thành công nhưng chúng tôi luôn tìm kiếm những cách mà chúng tôi có thể đổi mới và sử dụng công nghệ để nâng cao thực tiễn của chúng tôi,0
Việc xen canh cây cà gai leo không ảnh hưởng đến sự phát triển của rừng trong ba năm tới cung cấp một nguồn thu nhập cho những người nông dân trồng trọt và đảm bảo môi trường sống được bảo tồn của loài voọc,1
Ông có kinh nghiệm gần 40 năm trong lĩnh vực ngân hàng và bảo hiểm từng giữ vị trí CEO của Ngân hàng Quốc tế Kuwait từ năm 2006 đến năm 2009 Tổng Giám đốc kiêm Giám đốc Đại diện của ANZ Bank tại Việt Nam từ năm 2000 đến 2005,3
Song song với việc thúc đẩy phúc lợi liên kết tăng lên là quyền lợi được cung cấp thông qua hợp tác với nhà cung cấp điển hình là dịch vụ chăm sóc cá nhân và gia đình dành cho CBCNV vào năm 2017 Novaland mở rộng phạm vi tài trợ bảo hiểm sức khỏe của họ đối với người thân của các lãnh đạo cấp trung,2
Năm 2022 tiếp tục áp dụng phương pháp kiểm toán kết hợp Ban Kiểm tra Kiểm toán nội bộ Tập đoàn Bảo Việt hoàn thành 100 số cuộc kiểm toán được Hội đồng quản trị giao với chất lượng đảm bảo tiết kiệm nguồn lực về thời gian và chi phí,3
Với một sản phẩm riêng lẻ chúng ta cần hiểu liệu nó có thể tái chế hay tái sản xuất mất bao lâu để phân huỷ sinh học và liệu nó có chứa các chất độc hại,1
Phối hợp với các Bộ phận có liên quan để thiết kế tài liệu tiêu chuẩn về nguyên vật liệu sử dụng trong toàn tổ chức,3
Trên các kênh ngân hàng trực tuyến số tiền này bằng xấp xỉ 30 so với cùng kỳ năm ngoái,0
Mọi nguồn chất thải trong nhà tắm bao gồm cả từ thiết bị vệ sinh và bếp ăn đều phải được thu gom đúng cách bằng mạng lưới đường ống dẫn đến khu chứa nước thải tập trung của chủ sở hữu dự án,1
Xin xem Tiếp tục nâng cấp khả năng phục hồi và độ tin cậy của mạng của chúng tôi,2
"Trọng tâm chính trong chính sách và tuân thủ là Hướng dẫn về Nguyên tắc Thực hành Tốt nhất (BOP) cũng như Bộ Quy tắc Ứng xử của chúng tôi, áp dụng cho tất cả nhân viên và nhà thầu AES, thiết lập các quy tắc mà họ phải cam kết tuân theo.",3
"Năm 2023, lần đầu tiên Công trình Viettel tách báo cáo kết quả hoạt động kinh doanh ra khỏi báo cáo thường niên.",3
Trong gần ba thập kỷ đã đóng góp hơn 89 triệu đô la doanh thu trò chơi trở lại cho cộng đồng Bettendorf,0
và các quy định cũng như tư vấn với các bên liên quan về các vấn đề môi trường,1
Các đối tác cần được đảm bảo rằng họ đang thực hiện các biện pháp ESG bền vững và giảm lượng khí thải carbon để chống lại biến đổi khí hậu,1
Họ bày tỏ lòng biết ơn chân thành đối với những đóng góp của họ cho nỗ lực chung này,2
Mạng lưới phân phối toàn cầu của chúng ta phụ thuộc vào một hệ thống rộng lớn các kho hàng cơ sở lưu trữ trung tâm phân phối văn phòng cửa hàng bán lẻ và các không gian vật lý khác tất cả đều sử dụng năng lượng và nước và tạo ra chất thải,1
Chúng tôi đã nhận được điểm B cao hơn hiệu suất bán lẻ tuỳ ý trung bình của C,0
Do đó sự ủng hộ liên tục của chúng ta sẽ có lợi cho các cộng đồng khác nhau trên khắp đất nước trong một khoảng thời gian dài,0
Là một phần của việc có 100 các cộng sự về tài sản hoàn thành đào tạo nhân quyền bao gồm nhận thức về buôn bán người tìm nguồn cung ứng có trách nhiệm và các chính sách và thực tiễn tuyển dụng,2
Những nỗ lực này góp phần vào sự thành công của công ty bằng cách tiết kiệm tài nguyên và tăng hiệu quả sản xuất kinh doanh đồng thời bảo vệ môi trường,3
TMV nỗ lực xây dựng và duy trì mối quan hệ tốt với tất cả các bên thông qua giao tiếp cởi mở và công bằng đồng thời kỳ vọng những đối tác kinh doanh của mình hỗ trợ lẫn nhau phù hợp với nguyên tắc của Toyota và phấn đấu phát triển bền vững,3
Chúng ta càng sử dụng ít nước chi phí càng thấp đặc biệt là ở những khu vực có giá nước cao do các hạn chế hoặc quy định của địa phương giảm nguồn nước sẵn có vàhoặc các chương trình bảo tồn địa phương,1
Vì vậy Bảo Việt xác định rằng các lĩnh vực quản lý chủ chốt đòi hỏi sự thay đổi tập trung và chỉ có ba vấn đề chính Tăng cường hiệu suất năng lượng của nó thông qua việc sử dụng tốt hơn tài nguyên năng lượng trong hoạt động kinh doanh,3
Phân tích và theo dõi lượng khí thải carbon này cung cấp cho chúng tôi thông tin để giúp chúng tôi làm việc với các nhà cung cấp khách hàng và đối tác để giảm hơn nữa,1
Điều này bao gồm Một thành viên sáng lập của Cuộc đua đến đột phá không có điểm dừng của Liên Hợp Quốc Chiến dịch bán lẻ,0
Vincom Retail sử dụng nước ngưng từ các hệ thống làm lạnh cho mục đích tẩy rửa trong khi Vinschool tái chế nước thải sau quá trình thẩm thấu ngược để lau chùi sàn nhà và tưới cây,1
"Trong Báo cáo về Mức độ sẵn sàng cho Thực hành ESG của các Doanh nghiệp Tư nhân Việt Nam năm 2022, PwC đã cung cấp thông tin chi tiết cụ thể trong từng khía cạnh của bộ tiêu chuẩn ESG (Bảng 1).",3
