vi_text,labels,label_names,confidence,vote_count,total_models,pseudo_labeled,source
"công trình hành tinh xanh hơn | để tìm hiểu thêm, hãy truy cập các hoạt động khắc phục được thực hiện phần lớn tại các địa điểm bị ảnh hưởng bởi hoạt động sản xuất trong quá khứ và tại các cơ sở nơi boeing hoặc các công ty được mua lại, vận chuyển hóa chất hoặc chất thải khác để xử lý, lưu trữ hoặc tiêu hủy.",1,Evironment,0.9997330456972122,4,4,True,ensemble_voting
"→ tạo một kế hoạch quản lý năng lượng cho tất cả các tài sản đang hoạt động và chính thức hóa một giao thức báo cáo quản lý năng lượng quốc gia. → tăng cường yêu cầu dự án của chủ sở hữu của chúng ta đối với các phát triển và tái phát triển của chúng ta, để bao gồm các hướng dẫn về hiệu quả năng lượng và nước, chuyển hướng chất thải, giảm lượng khí thải cũng như các cân nhắc về rủi ro liên quan đến khí hậu.",1,Evironment,0.999732181429863,4,4,True,ensemble_voting
"công ty mua lại mở rộng phạm vi của chúng tôi các giải pháp chuyên biệt về tăng giá trị và củng cố hơn nữa chuyên môn và danh tiếng của chúng tôi như là nhà cung cấp hàng đầu các giải pháp dinh dưỡng và sức khoẻ động vật cho năng suất và sự bền vững của nông trại, với sự nhấn mạnh về giảm lượng khí thải, hiệu quả tiêu thụ thức ăn, và sử dụng nước và đất tốt hơn.",1,Evironment,0.9997315257787704,4,4,True,ensemble_voting
"sự phát triển của ngành hàng không có quan hệ mật thiết đến hoàn cảnh sinh thái, và hãng hàng không nam trung quốc đã kiên quyết thực hiện quyết định triển khai một ""bản kế hoạch 3 năm hoạt động cho cuộc chiến giành lấy bầu trời xanh"" trên toàn quốc, bắt đầu với việc đưa vào sử dụng những phương tiện sử dụng năng lượng mới, cải thiện khí thải và thay thế nguồn cung cấp điện cầu để cải thiện chất lượng không khí trong không gian.",1,Evironment,0.9997314959764481,4,4,True,ensemble_voting
"quỹ được thành lập trong chủ đích tạo ra giá trị tại những lĩnh vực như đã nêu, đó là nâng cao tính bền vững và hiệu quả của các công ty tham gia vốn, bằng việc tăng năng suất, giảm bớt vấn đề trung gian, nâng cao chất lượng và tiếp cận thị trường. theo mirova, sof đã cam kết bảy khoán đầu tư bao sản xuất thuỷ hải sản bền vững, giải quyết vấn đề chất thải biển và ô nhiễm chất dẻo, và thành lập các khu vực được bảo vệ biển mới.",1,Evironment,0.9997288137674332,4,4,True,ensemble_voting
"công ty của chúng tôi trong khoảng thời gian vừa qua đang hỗ trợ tổng hành chính của chính phủ và quản lý của doanh nghiệp trong chiến dịch chống gió bão. đó là những phân khúc trong công ty mà đang ở trên đất liền, là văn phòng và nhà kho, cho thuê đội xe tải và máy ủi đất. đó là những phân khúc mà có tiềm năng cao nhất để giúp sản phẩm giảm thiểu lượng khí thải.",1,Evironment,0.9997064769268036,4,4,True,ensemble_voting
"chúng tôi đã xây dựng mối quan hệ bền chặt với nhóm nextera energy partners thông qua hai giao dịch trước đây của mình và chúng tôi tự hào hỗ trợ phát triển các dự án năng lượng sạch trong tương lai đồng thời mang lại khả năng tiếp xúc hấp dẫn cho các nhà đầu tư của mình với các tài sản cơ sở hạ tầng cốt lõi.” theo nextera, số tiền thu được từ giao dịch dự kiến sẽ được triển khai lại thành các cơ hội phát triển bộ nhớ pin, năng lượng mặt trời và gió mới, bao gồm cả khoản tồn đọng 15.000 mw hơn mức năng lượng tái tạo của nextera.",1,Evironment,0.9997035712003708,4,4,True,ensemble_voting
"thỏa thuận này dựa trên thỏa thuận mua saf quy mô lớn giữa các công ty vào tháng 3 năm 2022, carl nyberg, phó chủ tịch cấp cao phụ trách thương mại và sản phẩm tái tạo tại neste, cho ""chúng tôi rất mong muốn tăng cường hơn nữa mối quan hệ hợp tác hiện tại với tập đoàn dhl thông qua cách tiếp cận toàn diện, chung cách giải quyết khí thải ghg trong vận tải.",1,Evironment,0.9997034221887589,4,4,True,ensemble_voting
"một số vi khuẩn được sử dụng làm thuốc trừ sâu cũng hỗ trợ cải thiện chất lượng đất, do chúng giúp thúc đẩy sự phát triển của phốt pho.",1,Evironment,0.9996963441371918,4,4,True,ensemble_voting
"công trình và khu xây dựng mới cũng như công trình đang hỗ trợ quan trọng phát triển công nghệ và quản lý do sau chúng tôi được yêu cầu, có liên quan đến giấy chứng nhận này, thực hiện đánh giá công nghệ, dùng để xác định biện pháp kiểm soát phù hợp được thực thi với các công trình, xu hướng giảm phát thải khoáng chất.",1,Evironment,0.9996920228004456,4,4,True,ensemble_voting
